rank,_row_id,asin,product_name,brand,price,type,connectivity,noise_cancellation,battery_life,bluetooth_version,driver_size,weight,water_resistance,microphone,review_rating,review_count,description
1,56,B0DHWZVN8W,"Picun B8 Bluetooth Headphones, 120H Playtime Headphone Wireless Bluetooth with 3 EQ Modes, Low Latency, Hands-Free Calls, Over Ear Headphones for Travel Home Office Cellphone PC Khaki White",20,19.19,6,2,2,120.0,5.3,40.0,12.0,7,2,4.6,7970.0,"When the bluetooth headset is connected to the IOS device, the current battery level of the headphones is displayed in the upper right corner of the IOS device screen."
2,23,B0006NL5SM,Beyerdynamic DT 770 Pro 250 ohm Closed-back Studio Mixing Headphones,29,199.99,6,1,1,91.0,5.1,40.0,10.2,7,2,4.6,28978.0,The DT 770 PRO (250 ohms) is a closed dynamic headphone that is ideal for professional use as a monitoring headphone in studios or on the move. Nominal sound pressure level 96 dB
3,20,B00ENMK1DW,Philips Audio SHP9500 HiFi Precision Stereo Over-Ear Headphones (Black),19,79.98,6,2,1,71.0,5.4,40.0,10.6,5,2,4.6,8869.0,High Precision Sound. Enjoy An Authentic Listening Experience In Style. Created To Offer Outstanding Performance Through Open Back Architecture And High-Precision 50Mm Speaker Drivers.
4,15,B00HVLUR86,"Audio-Technica ATH-M50x Professional Studio Monitor Headphones, Black",3,159.0,6,2,1,62.0,5.0,40.0,10.2,7,2,4.6,27870.0,"As the most critically acclaimed model in the M-Series line, the ATH-M50 is praised by top audio engineers and pro audio reviewers year after year. Now, the ATH-M50x professional studio monitor headphones feature the same coveted sonic signature, with the added feature of detachable cables. From the large aperture drivers, sound isolating earcups and robust construction, the M50x provides an unmatched experience for the most critical audio professionals."
5,35,B0CLC9L67G,"Picun B8 Bluetooth Headphones, 120H Playtime Headphones Wireless Bluetooth with 3 EQ Modes, Low Latency, Hands-Free Calls, Over Ear Headphones for Travel Home Office Cellphone PC (Ashen Golden)",20,19.19,6,2,2,120.0,5.3,40.0,2.363,5,2,4.6,7970.0,"When the bluetooth headset is connected to the IOS device, the current battery level of the headphones is displayed in the upper right corner of the IOS device screen."
6,2,B0863TXGM3,"Sony WH-1000XM4 Wireless Premium Noise Canceling Overhead Headphones with Mic for Phone-Call and Alexa Voice Control, Black WH1000XM4",24,228.0,6,2,1,90.0,5.0,40.0,9.0,7,2,4.6,61071.0,"Sony's intelligent industry-leading noise canceling headphones with premium sound elevate your listening experience with the ability to personalize and control everything you hear. Get up to 30 hours of battery life with quick charging capabilities, enjoy an enhanced Smart Listening feature set, and carry conversations hands-free with speak-to-chat."
7,24,B0011UB9CQ,"beyerdynamic DT 990 Pro 250 ohm Over-Ear Studio Headphones For Mixing, Mastering, and Editing",7,199.99,6,1,1,91.0,5.4,40.0,8.8,7,2,4.6,19217.0,The DT 990 PRO (250 ohms) is an open dynamic headphone that is ideal for professional use in studios. Headphone frequency response - 5 - 35.000 Hz
8,29,B07DKRYS6D,noot products Kids Headphones K11 Foldable Stereo Tangle-Free 5ft Long Cord 3.5mm Jack Plug in Wired On-Ear Headset for iPad/Girls/Boys/School/Laptop/Travel/Plane/Tablet-Soft Pink,32,20.99,4,1,2,91.0,5.1,40.0,6.0,7,1,4.7,40641.0,"Frequently asked questions Q: Do these headphones have a mic? A: No, these headphones do not have a mic. Although these headphones do not have a mic, you can still speak into the device that you are plugged into and the receiving end will hear you."
9,30,B0787HVXKQ,"noot products Kids Headphones K11 Foldable Stereo Tangle-Free 5ft Long Cord 3.5mm Jack Plug in Wired On-Ear Headset for iPad/Amazon Kindle,Fire/Boys/Girls/School/Tablet/Laptop(Mint/Coral)",32,20.99,4,1,2,80.0,5.3,40.0,6.0,7,1,4.7,40641.0,"Frequently asked questions : Q: Do these headphones have a mic? A: No, these headphones do not have a mic. Although these headphones do not have a mic, you can still speak into the device that you are plugged into and the receiving end will hear you."
10,13,B00IT0IHOY,"Sennheiser HD 280 Pro Headphone, Black",23,89.05,6,1,1,89.0,5.3,40.0,4.2,7,2,4.6,12393.0,"The HD 280 PRO is a pair of closed, dynamic stereo headphones that deliver accurate, linear sound reproduction with ambient noise attenuation for critical monitoring applications. Optimum impedance ensures universal compatibility, from home listening to studio monitoring. The space saving design features collapsible, rotating ear cups that are very comfortable to wear, even if used for long periods of time. The ear pads of the HD 280 PRO are made of a synthetic leatherette."
