column,algo,section_order,n,mean_nar,two_se
Flights Ithaca → Reston,tournament,,40,0.0096,0.0034
Flights Ithaca → Reston,utility,,40,0.0093,0.0000
Flights Ithaca → Reston,baseline_random,,40,0.5301,0.0000
Flights Ithaca → Reston,baseline_zscore,,1,0.0370,0.0000
Flights Ithaca → Reston,human_rerank,,4,0.0058,0.0023
Flights Chicago → NYC,tournament,,40,0.3973,0.0666
Flights Chicago → NYC,utility,,40,0.5094,0.0000
Flights Chicago → NYC,baseline_random,,40,0.4968,0.0253
Flights Chicago → NYC,baseline_zscore,,1,0.5094,0.0000
Flights Chicago → NYC,human_rerank,,4,0.5094,0.0000
Headphones-MAIN,tournament,,40,0.0827,0.0156
Headphones-MAIN,utility,,40,0.6231,0.0000
Headphones-MAIN,baseline_random,,40,0.5715,0.0497
Headphones-MAIN,baseline_zscore,,1,0.6231,0.0000
Headphones-MAIN,human_rerank,,4,0.1904,0.2887
Headphones-SOFT,tournament,,40,0.1640,0.0460
Headphones-SOFT,utility,,40,0.0492,0.0030
Headphones-SOFT,baseline_random,,40,0.4973,0.0705
Headphones-SOFT,baseline_zscore,,1,0.0769,0.0000
Exam Scheduling,tournament,,40,0.5012,0.0000
Exam Scheduling,utility,,40,0.1766,0.0763
Exam Scheduling,baseline_random,,40,0.5012,0.0000
Exam Scheduling,baseline_zscore,,1,0.5012,0.0000
Exam Scheduling,human_rerank,,4,0.3764,0.2497
