column,algo,section_order,n,mean_nar,two_se
Flights Ithaca->Reston,tournament,,40,0.0138,0.0041
Flights Ithaca->Reston,utility,,40,0.0075,0.0007
Flights Ithaca->Reston,full_batch,,40,0.0850,0.0541
Flights Ithaca->Reston,baseline_random,,40,0.5301,0.0000
Flights Ithaca->Reston,baseline_zscore,,1,0.0370,0.0000
Flights Ithaca->Reston,human_rerank,,4,0.0058,0.0023
Flights CHI->NYC,tournament,,40,0.4099,0.0638
Flights CHI->NYC,utility,,40,0.3221,0.0774
Flights CHI->NYC,full_batch,,40,0.4843,0.0350
Flights CHI->NYC,baseline_random,,40,0.4968,0.0253
Flights CHI->NYC,baseline_zscore,,1,0.5094,0.0000
Flights CHI->NYC,human_rerank,,4,0.5094,0.0000
Headphones,tournament,,40,0.0688,0.0128
Headphones,utility,,40,0.6231,0.0000
Headphones,full_batch,,40,0.2290,0.0696
Headphones,baseline_random,,40,0.5715,0.0497
Headphones,baseline_zscore,,1,0.6231,0.0000
Headphones,human_rerank,,4,0.1904,0.2887
Exam Scheduling,tournament,,40,0.5012,0.0000
Exam Scheduling,utility,,40,0.3514,0.0733
Exam Scheduling,full_batch,,40,0.4887,0.0249
Exam Scheduling,baseline_random,,40,0.5012,0.0000
Exam Scheduling,baseline_zscore,,1,0.5012,0.0000
Exam Scheduling,human_rerank,,4,0.3764,0.2497
