rank,_row_id,unique_id,is_best,name,origin,destination,departure time,arrival time,duration,stops,price,dis_from_origin,dis_from_dest,departure_dt,departure_seconds,arrival_dt,arrival_seconds,duration_min,meets_requirements
1,681,ORD_EWR0,True,United,ORD,EWR,"8:20 PM on Fri, Oct 10","11:44 PM on Fri, Oct 10",2 hr 24 min,0,119,0.2460643477547049,20.703705626728063,1900-10-10 20:20:00,3442800.0,1900-10-10 23:44:00,3455040.0,144,1
2,128,ORD_LGA1,True,Delta,ORD,LGA,"2:35 PM on Sat, Oct 11","5:51 PM on Sat, Oct 11",2 hr 16 min,0,152,0.2460643477547049,10.368604166113755,1900-10-11 14:35:00,3508500.0,1900-10-11 17:51:00,3520260.0,136,1
3,129,ORD_LGA2,True,American,ORD,LGA,"4:48 PM on Sat, Oct 11","7:59 PM on Sat, Oct 11",2 hr 11 min,0,152,0.2460643477547049,10.368604166113755,1900-10-11 16:48:00,3516480.0,1900-10-11 19:59:00,3527940.0,131,1
4,271,ORD_EWR6,False,United,ORD,EWR,"7:10 AM on Sat, Oct 11","10:27 AM on Sat, Oct 11",2 hr 17 min,0,144,0.2460643477547049,20.703705626728063,1900-10-11 07:10:00,3481800.0,1900-10-11 10:27:00,3493620.0,137,1
5,1,ORD_JFK1,True,Frontier,ORD,JFK,"6:40 AM on Sat, Oct 11","10:03 AM on Sat, Oct 11",2 hr 23 min,0,153,0.2460643477547049,0.3561336485756944,1900-10-11 06:40:00,3480000.0,1900-10-11 10:03:00,3492180.0,143,1
6,136,ORD_LGA9,False,American,ORD,LGA,"11:14 AM on Sat, Oct 11","2:25 PM on Sat, Oct 11",2 hr 11 min,0,195,0.2460643477547049,10.368604166113755,1900-10-11 11:14:00,3496440.0,1900-10-11 14:25:00,3507900.0,131,1
7,276,ORD_EWR11,False,United,ORD,EWR,"6:00 AM on Sat, Oct 11","9:15 AM on Sat, Oct 11",2 hr 15 min,0,173,0.2460643477547049,20.703705626728063,1900-10-11 06:00:00,3477600.0,1900-10-11 09:15:00,3489300.0,135,1
8,682,ORD_EWR1,True,United,ORD,EWR,"9:23 PM on Fri, Oct 10","12:45 AM on Sat, Oct 11",2 hr 22 min,0,171,0.2460643477547049,20.703705626728063,1900-10-10 21:23:00,3446580.0,1900-10-11 00:45:00,3458700.0,142,1
9,134,ORD_LGA7,False,Spirit,ORD,LGA,"11:12 AM on Sat, Oct 11","2:07 PM on Sat, Oct 11",1 hr 55 min,0,175,0.2460643477547049,10.368604166113755,1900-10-11 11:12:00,3496320.0,1900-10-11 14:07:00,3506820.0,115,1
10,2,ORD_JFK2,True,American,ORD,JFK,"1:40 PM on Sat, Oct 11","4:59 PM on Sat, Oct 11",2 hr 19 min,0,195,0.2460643477547049,0.3561336485756944,1900-10-11 13:40:00,3505200.0,1900-10-11 16:59:00,3517140.0,139,1
11,137,ORD_LGA10,False,American,ORD,LGA,"2:30 PM on Sat, Oct 11","5:48 PM on Sat, Oct 11",2 hr 18 min,0,195,0.2460643477547049,10.368604166113755,1900-10-11 14:30:00,3508200.0,1900-10-11 17:48:00,3520080.0,138,1
12,138,ORD_LGA11,False,Delta,ORD,LGA,"7:00 AM on Sat, Oct 11","10:11 AM on Sat, Oct 11",2 hr 11 min,0,204,0.2460643477547049,10.368604166113755,1900-10-11 07:00:00,3481200.0,1900-10-11 10:11:00,3492660.0,131,1
13,5,ORD_JFK5,False,Delta,ORD,JFK,"7:00 AM on Sat, Oct 11","10:25 AM on Sat, Oct 11",2 hr 25 min,0,204,0.2460643477547049,0.3561336485756944,1900-10-11 07:00:00,3481200.0,1900-10-11 10:25:00,3493500.0,145,1
14,6,ORD_JFK6,False,Delta,ORD,JFK,"10:36 AM on Sat, Oct 11","1:59 PM on Sat, Oct 11",2 hr 23 min,0,204,0.2460643477547049,0.3561336485756944,1900-10-11 10:36:00,3494160.0,1900-10-11 13:59:00,3506340.0,143,1
15,3,ORD_JFK3,True,Delta,ORD,JFK,"1:08 PM on Sat, Oct 11","4:35 PM on Sat, Oct 11",2 hr 27 min,0,204,0.2460643477547049,0.3561336485756944,1900-10-11 13:08:00,3503280.0,1900-10-11 16:35:00,3515700.0,147,1
16,127,ORD_LGA0,True,United,ORD,LGA,"5:00 PM on Sat, Oct 11","8:17 PM on Sat, Oct 11",2 hr 17 min,0,144,0.2460643477547049,10.368604166113755,1900-10-11 17:00:00,3517200.0,1900-10-11 20:17:00,3529020.0,137,1
17,131,ORD_LGA4,False,Delta,ORD,LGA,"5:50 PM on Sat, Oct 11","9:03 PM on Sat, Oct 11",2 hr 13 min,0,152,0.2460643477547049,10.368604166113755,1900-10-11 17:50:00,3520200.0,1900-10-11 21:03:00,3531780.0,133,1
18,0,ORD_JFK0,True,Delta,ORD,JFK,"6:20 PM on Sat, Oct 11","10:00 PM on Sat, Oct 11",2 hr 40 min,0,152,0.2460643477547049,0.3561336485756944,1900-10-11 18:20:00,3522000.0,1900-10-11 22:00:00,3535200.0,160,1
19,266,ORD_EWR1,True,American,ORD,EWR,"7:00 PM on Sat, Oct 11","10:29 PM on Sat, Oct 11",2 hr 29 min,0,144,0.2460643477547049,20.703705626728063,1900-10-11 19:00:00,3524400.0,1900-10-11 22:29:00,3536940.0,149,1
20,265,ORD_EWR0,True,United,ORD,EWR,"5:05 PM on Sat, Oct 11","8:32 PM on Sat, Oct 11",2 hr 27 min,0,144,0.2460643477547049,20.703705626728063,1900-10-11 17:05:00,3517500.0,1900-10-11 20:32:00,3529920.0,147,1
